Top Demographics;Value;Percentage;;
Company;BrainRocket;2%;;
Company;Sberbank;< 1%;;
Company;IT PARK Uzbekistan;< 1%;;
Company;EPAM Systems;< 1%;;
Company;Libertex Group;< 1%;;
Company;Ciklum;< 1%;;
Company;TradingView;< 1%;;
Company;Avito;< 1%;;
Company;Tribe;< 1%;;
Location;Moscow Metropolitan Area;18%;;
Location;Tbilisi;3%;;
Location;Lisbon Metropolitan Area;2%;;
Location;Belgrade Metropolitan Area;2%;;
Location;Greater Valencia Metropolitan Area;2%;;
Location;London Area, United Kingdom;2%;;
Location;Warsaw Metropolitan Area;2%;;
Location;Greater Barcelona Metropolitan Area;2%;;
Location;Tashkent;1%;;
Company size;10,001+ employees;19%;;
Company size;1,001-5,000 employees;17%;;
Company size;51-200 employees;11%;;
Company size;201-500 employees;9%;;
Company size;11-50 employees;9%;;
Company size;501-1,000 employees;8%;;
Company size;2-10 employees;6%;;
Company size;5,001-10,000 employees;4%;;
Company size;0-1 employees;< 1%;;
Seniority;Senior;39%;;
Seniority;Entry;18%;;
Seniority;Director;12%;;
Seniority;Manager;8%;;
Seniority;CXO;7%;;
Seniority;Owner;2%;;
Seniority;VP;2%;;
Seniority;Partner;1%;;
Job title;Recruiter;4%;;
Job title;Talent Acquisition Specialist;4%;;
Job title;Software Engineer;4%;;
Job title;Information Technology Recruiter;3%;;
Job title;Chief Executive Officer;2%;;
Job title;Technical Recruiter;2%;;
Job title;Chief Technology Officer;2%;;
Job title;Co-Founder;2%;;
Job title;Founder;2%;;
Industry;IT Services and IT Consulting;34%;;
Industry;Software Development;15%;;
Industry;Staffing and Recruiting;9%;;
Industry;Technology, Information and Internet;8%;;
Industry;Human Resources Services;6%;;
Industry;Financial Services;3%;;
Industry;Banking;2%;;
Industry;Business Consulting and Services;2%;;
Industry;Telecommunications;1%;;
Industry;Gambling Facilities and Casinos;< 1%;;