Date;Impressions;Engagements;;
3/8/2026;1;0;;
3/9/2026;7;0;;
3/10/2026;41;0;;
3/11/2026;97;1;;
3/12/2026;25;1;;
3/13/2026;42;0;;
3/14/2026;7;0;;
3/15/2026;3;1;;
3/16/2026;35;0;;
3/17/2026;196;1;;
3/18/2026;50;1;;
3/19/2026;62;2;;
3/20/2026;44;0;;
3/21/2026;29;0;;
3/22/2026;11;0;;
3/23/2026;49;0;;
3/24/2026;16;0;;
3/25/2026;48;0;;
3/26/2026;24;0;;
3/27/2026;20;0;;
3/28/2026;5;0;;
3/29/2026;13;0;;
3/30/2026;128;0;;
3/31/2026;53;0;;
4/1/2026;25;1;;
4/2/2026;34;1;;
4/3/2026;50;1;;
4/4/2026;31;0;;
4/5/2026;27;0;;
4/6/2026;35;0;;
4/7/2026;49;0;;
4/8/2026;29;0;;
4/9/2026;15;0;;
4/10/2026;25;0;;
4/11/2026;8;1;;
4/12/2026;101;1;;
4/13/2026;130;0;;
4/14/2026;50;1;;
4/15/2026;160;3;;
4/16/2026;147;0;;
4/17/2026;41;0;;
4/18/2026;18;0;;
4/19/2026;134;0;;
4/20/2026;387;5;;
4/21/2026;483;1;;
4/22/2026;349;0;;
4/23/2026;316;11;;
4/24/2026;279;5;;
4/25/2026;213;0;;
4/26/2026;164;2;;
4/27/2026;186;0;;
4/28/2026;140;1;;
4/29/2026;78;0;;
4/30/2026;114;3;;
5/1/2026;42;0;;
5/2/2026;35;1;;
5/3/2026;47;0;;
5/4/2026;63;3;;
5/5/2026;22;0;;
5/6/2026;33;0;;
5/7/2026;23;0;;
5/8/2026;27;1;;
5/9/2026;11;2;;
5/10/2026;26;0;;
5/11/2026;20;0;;
5/12/2026;31;0;;
5/13/2026;131;2;;
5/14/2026;198;3;;
5/15/2026;75;0;;
5/16/2026;54;3;;
5/17/2026;38;0;;
5/18/2026;60;0;;
5/19/2026;68;0;;
5/20/2026;74;4;;
5/21/2026;121;1;;
5/22/2026;156;0;;
5/23/2026;65;0;;
5/24/2026;91;1;;
5/25/2026;115;2;;
5/26/2026;317;0;;
5/27/2026;174;2;;
5/28/2026;103;0;;
5/29/2026;255;0;;
5/30/2026;116;0;;
5/31/2026;136;1;;
6/1/2026;309;0;;
6/2/2026;263;3;;
6/3/2026;347;0;;
6/4/2026;492;0;;
6/5/2026;121;2;;